tool_name,parameters,original_description
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/range"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order a quantity of phone numbers of the specified product and in a specified range.</p><p>Use this to order one/more phone numbers of the specified product, where the system will pick matching numbers from a numbers range you give.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/any"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order a quantity of phone numbers of the specified product and let the system choose the numbers.</p><p>Use this to order one/more phone numbers of the specified product, where the system will pick the first available matches.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/delete"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order to remove every number of this product customer inventory, only numbers within the country given.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/reserve"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order a quantity of phone numbers of the specified product, numbers that you have already reserved with the system.</p><p>Use this to order numbers that you previously searched for in our inventory and successfully reserved.</p><p>Use the requestId field to correlate multiple orders together.</p>"
asdfadsf,"{
    ""parameters"": {
        ""limit"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""skip"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""category"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Get Products in Category"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Get Order"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {
        ""skip"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        },
        ""limit"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Get Products"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Get Categories"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Get Product"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Add to Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Product"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
asdfadsf,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Bing Keyword Planner,"{
    ""parameters"": {
        ""target_domain"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The domain name of the target website."",
            ""default"": ""chewy.com""
        },
        ""location_name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Name of location.\n\nCan be a Country, Region or City. \n\nExamples: \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""United States\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Germany\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""London,England,United Kingdom\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"""",
            ""default"": ""United States""
        },
        ""device"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Limits data for a particular device type.\n\nPossible values: *all*, *mobile*, *desktop*, *tablet*\nDefault value: *all*"",
            ""default"": ""all""
        },
        ""language_name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Name of language.\n\nExamples: \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""English\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""German\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Spanish\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"""",
            ""default"": ""English""
        }
    },
    ""metadata"": {
        ""endpoint"": ""URL Seed"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Based on your provided keywords, this endpoint will return up to 3000 suitable keyword recommendations. Set up to 200 keywords and obtain the results that Bing Ads suggests for your query. Using this tool, you may obtain up to 3000 keyword ideas."
Bing Keyword Planner,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Search Volume"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This endpoint will return search volume data for your input keywords. Set up to 200 keywords and get the results.
Bing Keyword Planner,"{
    ""parameters"": {
        ""keywords"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Comma-separated list of input keywords.\n\nMaximum number of input keywords: 200"",
            ""default"": ""dog,puppy""
        },
        ""device"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Limits data for a particular device type.\n\nPossible values: *all*, *mobile*, *desktop*, *tablet*\nDefault value: *all*"",
            ""default"": ""all""
        },
        ""location_name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Name of location.\n\nCan be a Country, Region or City. \n\nExamples: \\\\\\\\\\\\\\\""United States\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""Germany\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""London,England,United Kingdom\\\\\\\\\\\\\\\"""",
            ""default"": ""United States""
        },
        ""language_name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Name of language.\n\nExamples: \\\\\\\\\\\\\\\""English\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""German\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""Spanish\\\\\\\\\\\\\\\"""",
            ""default"": ""English""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Keyword Ideas"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Based on your provided keywords, this endpoint will return up to 3000 suitable keyword recommendations. Set up to 200 keywords and obtain the results that Bing Ads suggests for your query. Using this tool, you may obtain up to 3000 keyword ideas."
bobo,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
bobo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
bobo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
bobo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
bobo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
bobo,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        },
        ""additionalMetadata"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Additional data to pass to server""
        },
        ""file"": {
            ""type"": ""binary"",
            ""required"": false,
            ""description"": ""file to upload""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
bobo,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""uiConfiguration_2"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""securityConfiguration_1"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""swaggerResources_3"",
        ""method"": ""PUT"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""uiConfiguration_3"",
        ""method"": ""PUT"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""uiConfiguration_4"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""securityConfiguration_2"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""uiConfiguration_5"",
        ""method"": ""PATCH"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""swaggerResources_1"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""securityConfiguration_5"",
        ""method"": ""PATCH"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""uiConfiguration_1"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""swaggerResources_2"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""swaggerResources_5"",
        ""method"": ""PATCH"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""swaggerResources_4"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""securityConfiguration_4"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""securityConfiguration_3"",
        ""method"": ""PUT"",
        ""category"": ""Advertising""
    }
}", 
catfactprompts,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getFacts"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}", 
Chimp Rewriter,"{
    ""parameters"": {
        ""email"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s Chimp Rewriter account email. Note that the user requires a Chimp Rewriter Pro subscription.""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s API key. Get one on the Chimp Rewriter User Management page.""
        },
        ""aid"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Application ID. Set this to a string (100 charachers or less) to identify your application to the server. At this point, applications do not require registration.""
        },
        ""calcworddensity"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        },
        ""minlength"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""The minimum character length for which to calculate word density. If you use 3, 2 letter words would not be included in the results."",
            ""default"": ""3""
        }
    },
    ""metadata"": {
        ""endpoint"": ""CalcWordDensity"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Calculates the word densities of words and phrases in the article.
Chimp Rewriter,"{
    ""parameters"": {
        ""email"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s Chimp Rewriter account email. Note that the user requires a Chimp Rewriter Pro subscription.""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s API key. Get one on the Chimp Rewriter User Management page.""
        },
        ""aid"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Application ID. Set this to a string (100 charachers or less) to identify your application to the server. At this point, applications do not require registration.""
        },
        ""QueryStats"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        },
        ""simple"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Returns a raw number of how many queries can be made with the account instead of the detailed format described below."",
            ""default"": ""1""
        }
    },
    ""metadata"": {
        ""endpoint"": ""QueryStats"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Returns remaining query quota. Can also be used to test an account.
Chimp Rewriter,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""TestConnection"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Tests the connection to the API without user credentials.
Chimp Rewriter,"{
    ""parameters"": {
        ""email"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s Chimp Rewriter account email. Note that the user requires a Chimp Rewriter Pro subscription.""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s API key. Get one on the Chimp Rewriter User Management page.""
        },
        ""aid"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Application ID. Set this to a string (100 charachers or less) to identify your application to the server. At this point, applications do not require registration.""
        },
        ""generatespin"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        },
        ""dontincludeoriginal"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""If set to 1, the first first word in each set of spintax is not included in spun output. E.g. if this is found in the article: {word|syn1|syn2}, the result will only include either syn1 or syn2."",
            ""default"": ""0""
        },
        ""reorderparagraphs"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""If set to 1, paragraphs are randomly ordered in the result."",
            ""default"": ""0""
        },
        ""N/A"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""To protect any piece of text, simply wrap it with ###. For example, if you had a certain paragraph or code to protect, simply send \u201cAn intro sentence. ###My protected stuff### and the rest of the article\u201d. Anything inside the hashes will not be spun. Then just replace \u2018###\u2019 with an empty string.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""GenerateSpin"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Generates an unspun doc from one with spintax. Optionally reorders paragraphs and removes original word.
